"Name","Su17_gc.a.at.DTF","Su17_gc.a.at.DTM","Su17_gc.a.perc.DTF","Su17_gc.a.xmax.DTF","Su17_gc.a.xmax.DTM","Su17_gc.a.xmid.DTF","Su17_gc.a.xmid.DTM","Su17_gc.h.at.DTF","Su17_gc.h.at.DTM","Su17_gc.h.perc.DTF","Su17_gc.h.xmax.DTF","Su17_gc.h.xmax.DTM","Su17_gc.h.xmid.DTF","Su17_gc.h.xmid.DTM","Su17_gc.v.at.DTF","Su17_gc.v.at.DTM","Su17_gc.v.perc.DTF","Su17_gc.v.xmax.DTF","Su17_gc.v.xmax.DTM","Su17_gc.v.xmid.DTF","Su17_gc.v.xmid.DTM"
"PI_320946_LSP_AGL",0.298980895759043,1.0010129419932,28.6931553513631,33,-5,7.71084195835684,-30.2891580416432,0.127324425199187,0.189255197651056,66.5299816162452,19,-19,-5.4486621590843,-43.4486621590843,0.0252066131018605,0.189009206927426,11.9362463632433,25,-13,9.96692706645237,-28.0330729335476
"PI_320952_LSP_AGL",1.04604162439551,NA,62.4769348003485,16.3333333333333,NA,-3.21305212629887,NA,0.197428259087117,NA,56.2758494569621,25,NA,-2.26856901699907,NA,0.189231329803009,NA,33.2970919542543,19.6666666666667,NA,3.65175967152077,NA
"PI_320953_LSP_AGL",0.905323587331077,1.58464383034045,60.5258879726794,16.3333333333333,-18,-2.77028184347087,-37.3704416539969,0.163827605457096,0.316936254567073,53.6962201970479,24,-12,-1.21818946393593,-33.7457022757841,0.132568511506415,0.495376793666769,29.9386698459038,16.6666666666667,-17,3.66063080720393,-29.8464053161375
"PI_320954_LSP_AGL",0.45269270459404,1.20191401456569,36.6791065312106,21.3333333333333,-11.3333333333333,2.9532105284505,-29.7134561382162,0.137109877584216,0.217230192837436,61.3303158482558,24,-8.66666666666667,-4.20271821628987,-36.8693848829565,0.051063435809296,0.258113581430809,18.9386578153538,18.6666666666667,-14,6.20398890927477,-26.4626777573919
"PI_329157_LSP_AGL",0.409541640562271,1.34940778291276,26.9195323809985,31.3333333333333,-8,7.93684107789937,-33.0966668745525,0.119216072246661,0.2122026411216,51.9972830232909,23.3333333333333,-18,-0.703258414248099,-44.3008615118142,0.0321117910018032,0.27132675457682,9.75873091856896,25,-15,10.6405852829957,-31.0267754452865
"PI_329167_LSP_AGL",0.323128222571836,1.03013692433332,31.6734600719241,32.6666666666667,-6,6.49285137395893,-34.2422583117638,0.142387460922313,0.198168605757441,75.4299501171846,13.6666666666667,-27,-8.013598252084,-47.9853258746897,0.0344498155180582,0.192318975246074,18.7693750624383,24.3333333333333,-15,7.86520126283873,-33.0596993899904
"PI_339266_LSP_AGL",0.341116318860078,1.16370825224756,26.571470167843,34.3333333333333,-16,9.18087533355983,-39.9092335391833,0.110509165798157,0.235593348209643,45.2126324456684,28.3333333333333,-22.5,2.09916758089433,-45.826751573499,0.0276366153240183,0.272972929444592,9.20007469175746,30.3333333333333,-19.5,13.4503946523609,-35.2361294821238
"PI_339283_LSP_AGL",0.537708583362427,1.28594318064934,41.0549883279083,27,-8,2.8889118487084,-32.1110881512916,0.140709746642322,0.199503944433765,70.3805722336954,16,-19,-6.7305090118449,-41.7305090118449,0.0585671974439666,0.251613352151076,23.5696723100061,21,-14,5.73007569968203,-29.269924300318
"PI_339285_AGL",0.408590684362412,1.1681627886201,33.6245214113823,26.6666666666667,-11,4.83969585219033,-32.8269708144763,0.123473095151591,0.218531315790533,56.3119498712615,25,-12.6666666666667,-2.43379320791117,-40.1004598745778,0.0341601613401985,0.257875964800704,12.5726545991783,23.6666666666667,-14,9.13782982657007,-28.5288368400966
"PI_339289_LSP_AGL",0.287912988098686,1.09593510330378,26.8143011304784,31,-9.5,8.30375234351427,-33.6852075246281,0.113177072952859,0.23398628889119,48.321051711242,27.3333333333333,-17,0.743586203333566,-40.8924320200116,0.0197877056013472,0.258341127590872,8.11552953197988,26.6666666666667,-14,12.0966507402955,-29.5308707778272
"PI_339292_LSP_AGL",0.39312822874836,1.18478415691536,33.3042030691393,29.6666666666667,-10.5,5.66740450009777,-33.624846302618,0.119925295691231,0.256998683099915,46.6126288785151,29,-10.5,1.21292777483563,-38.3267617636355,0.0315559758195182,0.299009773991971,10.5010289519022,26,-14,10.7921230147298,-28.6710960107162
"PI_339296_AGL",0.235728868143311,0.922212860634397,24.8047893870727,31,-9,8.5138017408421,-31.4861982591579,0.110028683019333,0.228492847626379,48.1941823782322,28,-12,0.342900665831934,-39.6570993341681,0.0102673138996117,0.203286636753308,5.20173124369,25,-15,12.2081015397588,-27.7918984602412
"PI_343026_LSP_AGL",0.247227346152125,1.26570745716972,18.2147494447795,30.3333333333333,-9,10.15040251171,-29.1829308216234,0.115685082958233,0.21647578428314,52.7290218428138,25.3333333333333,-14,-0.706053602784801,-40.0393869361181,0.0183657085571849,0.264981500774475,6.48237329070727,25.3333333333333,-14,11.857178018324,-27.4761553150094
"PI_345627_LSP_AGL",0.947041117124296,NA,58.4224312970211,17,NA,-2.4934611529637,NA,0.183063327348651,NA,62.97578550774,25,NA,-5.51963536488233,NA,0.170201089289284,NA,37.7564146719886,16,NA,2.30931402741304,NA
"PI_358602_LSP_AGL",0.521936451186645,1.51195251996351,37.5459258526433,26.5,-4,4.0570693793999,-26.6692102922084,0.151067106693735,0.22953078776091,62.0713496952482,22,-13,-4.3636098370401,-38.6031643728635,0.0626756183857422,0.332873851866923,19.6351122926761,22,-10,7.0765256320899,-25.0216693760234
